股票代码-0,股票名称-1,限价单最大下单量-16,限价单最小下单量-17,最小变动价位-18,创建日-19,昨日收盘价-2,上市日-20,到期日-21,昨日结算-3,合约在RZRK的代码-32,合约在交易所的代码-33,利息额-35,除权除息-36,停牌-37,昨日持仓-4,涨停价-5,投资者适当性管理分类-50,最小回购天数-52,跌停价-6,总股本-7,流通盘-8,合约数量乘数-9,股票-S
1, \5e73\5b89\94f6\884c, 0L, 0L,0.01, ,9.11,19910606, ,0,1,1,0, N,0,0,10.02,0,0,8.2, 17170411366L, 17170246773L,1,1,
2, \4e07 \79d1\ff21, 0L, 0L,0.01, ,23.14,19910403, ,0,2,2,0, N,0,0,25.45,0,0,20.83, 11039152001L, 11030125511L,1,2,
4, \56fd\519c\79d1\6280, 0L, 0L,0.01, ,17.91,19910403, ,0,4,4,0, N,0,0,19.7,0,0,16.12, 83976684L, 83013184L,1,4,
5, \4e16\7eaa\661f\6e90, 0L, 0L,0.01, ,3.04,19940103, ,0,5,5,0, N,0,0,3.34,0,0,2.74, 1058536842L, 951222460L,1,5,
6, \6df1\632f\4e1a\ff21, 0L, 0L,0.01, ,5.51,19920426, ,0,6,6,0, N,0,0,6.06,0,0,4.96, 1349995046L, 1348267407L,1,6,
7, \5168\65b0\597d, 0L, 0L,0.01, ,13.44,19920412, ,0,7,7,0, N,0,0,14.78,0,0,12.1, 346448044L, 308948044L,1,7,
8, \795e\5dde\9ad8\94c1, 0L, 0L,0.01, ,4.96,19920506, ,0,8,8,0, N,32,0,5.46,0,0,4.46, 2818329809L, 2556538576L,1,8,
9, \4e2d\56fd\5b9d\5b89, 0L, 0L,0.01, ,5.04,19910625, ,0,9,9,0, N,0,0,5.54,0,0,4.54, 2149344971L, 2119864068L,1,9,
10, \7f8e\4e3d\751f\6001, 0L, 0L,0.01, ,4.45,19951027, ,0,10,10,0, N,0,0,4.9,0,0,4.01, 819854713L, 522171498L,1,10,
11, \6df1\7269\4e1aA, 0L, 0L,0.01, ,10.08,19920329, ,0,11,11,0, N,0,0,11.09,0,0,9.07, 595979092L, 243467869L,1,11,
12, \5357 \73bb\ff21, 0L, 0L,0.01, ,4.85,19920228, ,0,12,12,0, N,0,0,5.34,0,0,4.37, 2856769678L, 2744331234L,1,12,
14, \6c99\6cb3\80a1\4efd, 0L, 0L,0.01, ,12.66,19920601, ,0,14,14,0, N,0,0,13.93,0,0,11.39, 201705187L, 201705187L,1,14,
16, \6df1\5eb7\4f73\ff21, 0L, 0L,0.01, ,4.83,19920326, ,0,16,16,0, N,0,0,5.31,0,0,4.35, 2407945408L, 2407925908L,1,16,
17, \6df1\4e2d\534eA, 0L, 0L,0.01, ,3.54,19920330, ,0,17,17,0, N,0,0,3.89,0,0,3.19, 551347947L, 551343240L,1,17,
18, \795e\5dde\957f\57ce, 0L, 0L,0.01, ,3.22,19920615, ,0,18,18,0, N,0,0,3.54,0,0,2.9, 1698245011L, 1016939575L,1,18,
19, \6df1\6df1\5b9d\ff21, 0L, 0L,0.01, ,9.77,19921011, ,0,19,19,0, N,0,0,10.75,0,0,8.79, 496782303L, 467713856L,1,19,
20, \6df1\534e\53d1\ff21, 0L, 0L,0.01, ,12.65,19920427, ,0,20,20,0, N,0,0,13.92,0,0,11.39, 283161227L, 283161227L,1,20,
21, \6df1\79d1\6280, 0L, 0L,0.01, ,6.91,19940202, ,0,21,21,0, N,0,0,7.6,0,0,6.22, 1471259363L, 1469402064L,1,21,
